---------------------------------------------------------------------------------------------------------------------------
 Mult. |          Configurations           |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                   |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                   |              |                             |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------
       |                                   |              |  19233.177   -  120150.1    |  4 - 6  | 1.65e+07  | C+   |    |
       |                                   |              |  19224.464   -  120155.8    |  6 - 4  | 2.49e+07  | C+   |    |
       |                                   |              |  19233.177   -  120155.8    |  4 - 4  | 2.26e+08  | C+   |    |
       |                                   |              |  19224.464   -  120150.1    |  6 - 6  | 2.35e+08  | C+   |    |
       |                                   |              |                             |         |           |      |    |
    40 |                                   |   2D* - 2P   |  19227.949   -  120310.1    | 10 - 6  | 1.11e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  120309.6    |  4 - 4  | 1.09e+07  | C    |    |
       |                                   |              |  19233.177   -  120311.2    |  4 - 2  | 1.12e+08  | C    |    |
       |                                   |              |  19224.464   -  120309.6    |  6 - 4  | 9.95e+07  | C    |    |
       |                                   |              |                             |         |           |      |    |
    41 |         2s2.2p3 - 2s.2p4          |   2D* - 2D   |                             |         |           |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  19233.177   -  121200.5    |  4 - 6  | 2.29e+07  | C+   |    |
       |                                   |              |  19224.464   -  121200.5    |  6 - 6  | 3.33e+08  | C+   |    |
       |                                   |              |                             |         |           |      |    |
    42 |         2s2.2p3 - 2s2.2p2.(3P).3s |   2P* - 2P   |  28839.177   -   86192.79   |  6 - 6  | 1.25e+08  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -   86220.510  |  2 - 4  | 2.12e+07  | B    |    |
       |                                   |              |  28839.306   -   86137.350  |  4 - 2  | 4.01e+07  | B    |    |
       |                                   |              |  28838.920   -   86137.350  |  2 - 2  | 8.35e+07  | B    |    |
       |                                   |              |  28839.306   -   86220.510  |  4 - 4  | 1.05e+08  | B    |    |
       |                                   |              |                             |         |           |      |    |
    43 |         2s2.2p3 - 2s2.2p2.(1D).3s |   2P* - 2D   |  28839.177   -   99663.621  |  6 - 10 | 5.39e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -   99663.912  |  2 - 4  | 4.46e+07  | A    |    |
       |                                   |              |  28839.306   -   99663.427  |  4 - 6  | 5.34e+07  | A    |    |
       |                                   |              |  28839.306   -   99663.912  |  4 - 4  | 1.01e+07  | A    |    |
       |                                   |              |                             |         |           |      |    |
    44 |         2s2.2p3 - 2s2.2p2.(3P).4s |   2P* - 4P   |  28839.177   -  103693.88   |  6 - 12 | 3.06e+04  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28839.306   -  103735.48   |  4 - 6  | 3.25e+02  | B    |    |
       |                                   |              |  28838.920   -  103667.16   |  2 - 4  | 1.02e+04  | B    |    |
       |                                   |              |  28839.306   -  103667.16   |  4 - 4  | 5.93e+04  | B    |    |
       |                                   |              |  28838.920   -  103622.51   |  2 - 2  | 3.16e+04  | B    |    |
       |                                   |              |  28839.306   -  103622.51   |  4 - 2  | 1.22e+04  | B    |    |
       |                                   |              |                             |         |           |      |    |
    45 |                                   |   2P* - 2P   |  28839.177   -  104196.027  |  6 - 6  | 9.75e+06  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -  104221.630  |  2 - 4  | 9.72e+05  | B    |    |
       |                                   |              |  28839.306   -  104144.820  |  4 - 2  | 4.43e+06  | B    |    |
       |                                   |              |  28838.920   -  104144.820  |  2 - 2  | 9.47e+06  | B    |    |
       |                                   |              |  28839.306   -  104221.630  |  4 - 4  | 6.71e+06  | B    |    |
       |                                   |              |                             |         |           |      |    |
    46 |         2s2.2p3 - 2s2.2p2.(3P).3d |   2P* - 2P   |  28839.177   -  104628.323  |  6 - 6  | 7.26e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -  104615.470  |  2 - 4  | 1.70e+07  | B+   |    |
       |                                   |              |  28839.306   -  104654.030  |  4 - 2  | 2.28e+07  | B+   |    |
       |                                   |              |  28839.306   -  104615.470  |  4 - 4  | 5.76e+07  | B+   |    |
       |                                   |              |  28838.920   -  104654.030  |  2 - 2  | 4.59e+07  | B+   |    |
       |                                   |              |                             |         |           |      |    |
    47 |                                   |   2P* - 4F   |  28839.177   -  104675.488  |  6 - 28 | 1.46e+05  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28839.306   -  104683.060  |  4 - 6  | 1.36e+04  | B+   |    |
       |                                   |              |  28838.920   -  104664.130  |  2 - 4  | 1.45e+03  | C    |    |
       |                                   |              |  28839.306   -  104664.130  |  4 - 4  | 1.00e+06  | B+   |    |
       |                                   |              |                             |         |           |      |    |
    48 |                                   |   2P* - 2F   |  28839.306   -  104810.36   |  6 - 14 | 4.80e+05  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28839.306   -  104810.360  |  4 - 6  | 1.12e+06  | B    |    |
       |                                   |              |                             |         |           |      |    |
    49 |                                   |   2P* - 4P   |  28839.177   -  104846.82   |  6 - 12 | 2.30e+05  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28839.306   -  104825.110  |  4 - 6  | 1.06e+05  | B    |    |
       |                                   |              |  28838.920   -  104859.73   |  2 - 4  | 3.65e+05  | B    |    |
       |                                   |              |  28839.306   -  104859.73   |  4 - 4  | 7.40e+04  | B    |    |
       |                                   |              |  28838.920   -  104886.10   |  2 - 2  | 1.14e+05  | B    |    |
       |                                   |              |  28839.306   -  104886.10   |  4 - 2  | 6.83e+04  | B    |    |
       |                                   |              |                             |         |           |      |    |
    50 |                                   |   2P* - 4D   |  28839.177   -  105000.43   |  6 - 20 | 1.09e+05  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28839.306   -  105008.55   |  4 - 6  | 5.53e+04  | B    |    |
       |                                   |              |  28838.920   -  104996.27   |  2 - 4  | 2.79e+05  | B    |    |
       |                                   |              |  28839.306   -  104996.27   |  4 - 4  | 7.66e+03  | B    |    |
       |                                   |              |  28838.920   -  104984.37   |  2 - 2  | 2.37e+05  | B    |    |
       |                                   |              |  28839.306   -  104984.37   |  4 - 2  | 1.15e+05  | B    |    |
       |                                   |              |                             |         |           |      |    |
    51 |                                   |   2P* - 2D   |  28839.177   -  105134.178  |  6 - 10 | 7.73e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -  105119.880  |  2 - 4  | 6.05e+07  | B    |    |
       |                                   |              |  28839.306   -  105119.880  |  4 - 4  | 1.75e+07  | B    |    |
       |                                   |              |  28839.306   -  105143.710  |  4 - 6  | 7.68e+07  | B    |    |
       |                                   |              |                             |         |           |      |    |
    52 |         2s2.2p3 - 2s2.2p2.(3P).4d |   2P* - 2P   |  28839.177   -  110228.466  |  6 - 6  | 4.05e+07  |      |    |
       |                                   |              |                             |         |           |      |    |
       |                                   |              |  28838.920   -  110220.107  |  2 - 4  | 6.76e+06  | D+   |    |
       |                                   |              |  28839.306   -  110245.183  |  4 - 2  | 1.35e+07  | D+   |    |
