-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
    51 |        2s2.2p2 - 2s2.2p.4s      |   1S  - 3P*  |  32688.8    -  196592.07  |  1 - 9  | 4.47e+05  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  32688.8    -  196592.07  |  1 - 3  | 1.34e+06  | D    |    |
       |                                 |              |                           |         |           |      |    |
    52 |                                 |   1S  - 1P*  |  32688.8    -  197858.69  |  1 - 3  | 3.77e+08  | C+   |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    53 |        2s2.2p2 - 2s2.2p.4d      |   1S  - 1P*  |  32688.8    -  211336.16  |  1 - 3  | 1.14e+09  | B    |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    54 |        2s2.2p2 - 2s2.2p.5d      |   1S  - 1P*  |  32688.8    -  221246.17  |  1 - 3  | 6.12e+08  | B    |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
    55 |         2s.2p3 - 2s.2p3         |   5S* - 3P*  |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  46784.6    -  109217.6   |  5 - 5  | 2.08e-02  | C    | M1 |
       |                                 |              |  46784.6    -  109216.6   |  5 - 3  | 1.15e-02  | C    | M1 |
       |                                 |              |                           |         |           |      |    |
    56 |         2s.2p3 - 2s2.2p.3p      |   5S* - 3D   |  46784.6    -  166615.19  |  5 - 15 | 4.66e+01  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  46784.6    -  166582.45  |  5 - 5  | 2.42e+01  | D    |    |
       |                                 |              |  46784.6    -  166521.69  |  5 - 3  | 3.04e+00  | D    |    |
       |                                 |              |  46784.6    -  166678.64  |  5 - 7  | 8.13e+01  | D    |    |
       |                                 |              |                           |         |           |      |    |
    57 |         2s.2p3 - 2s.2p2.(4P).3s |   5S* - 5P   |  46784.6    -  205675.91  |  5 - 15 | 1.07e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  46784.6    -  205724.81  |  5 - 7  | 1.08e+09  | C+   |    |
       |                                 |              |  46784.6    -  205654.22  |  5 - 5  | 1.07e+09  | C+   |    |
       |                                 |              |  46784.6    -  205597.97  |  5 - 3  | 1.07e+09  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    58 |         2s.2p3 - 2s.2p2.(4P).3d |   5S* - 5P   |  46784.6    -  244379.21  |  5 - 15 | 4.51e+09  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  46784.6    -  244353.31  |  5 - 7  | 4.51e+09  | C+   |    |
       |                                 |              |  46784.6    -  244391.88  |  5 - 5  | 4.51e+09  | C+   |    |
       |                                 |              |  46784.6    -  244418.52  |  5 - 3  | 4.51e+09  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    59 |         2s.2p3 - 2s.2p3         |   3D* - 3P*  |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92237.2    -  109217.6   |  7 - 5  | 2.78e-03  | C    | M1 |
       |                                 |              |  92237.2    -  109217.6   |  7 - 5  | 4.27e-01  | C    | E2 |
       |                                 |              |  92237.2    -  109216.6   |  7 - 3  | 3.55e-01  | C    | E2 |
       |                                 |              |  92250.3    -  109216.6   |  5 - 3  | 6.32e-02  | C    | E2 |
       |                                 |              |  92250.3    -  109223.5   |  5 - 1  | 7.60e-01  | C    | E2 |
       |                                 |              |  92251.8    -  109223.5   |  3 - 1  | 3.29e-03  | C    | M1 |
       |                                 |              |  92250.3    -  109217.6   |  5 - 5  | 1.98e-03  | C    | M1 |
       |                                 |              |  92250.3    -  109217.6   |  5 - 5  | 2.66e-01  | C    | E2 |
       |                                 |              |  92251.8    -  109216.6   |  3 - 3  | 3.29e-03  | C    | M1 |
       |                                 |              |  92251.8    -  109216.6   |  3 - 3  | 3.41e-01  | C    | E2 |
       |                                 |              |  92251.8    -  109217.6   |  3 - 5  | 5.33e-04  | C    | M1 |
       |                                 |              |  92251.8    -  109217.6   |  3 - 5  | 6.83e-02  | C    | E2 |
       |                                 |              |                           |         |           |      |    |
    60 |                                 |   3D* - 3S*  |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92237.2    -  155126.73  |  7 - 3  | 1.79e-01  | C    | E2 |
       |                                 |              |  92250.3    -  155126.73  |  5 - 3  | 1.11e-01  | C    | E2 |
       |                                 |              |  92251.8    -  155126.73  |  3 - 3  | 6.05e-02  | C    | E2 |
       |                                 |              |                           |         |           |      |    |
    61 |         2s.2p3 - 2s2.2p.3p      |   3D* - 1P   |  92250.9    -  164610.76  | 15 - 3  | 7.08e+03  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92250.3    -  164610.76  |  5 - 3  | 1.30e+01  | D    |    |
       |                                 |              |  92251.8    -  164610.76  |  3 - 3  | 7.07e+03  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    62 |                                 |   3D* - 3D   |  92244.5    -  166615.19  | 15 - 15 | 7.18e+06  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92237.2    -  166678.64  |  7 - 7  | 6.40e+06  | C+   |    |
       |                                 |              |  92250.3    -  166582.45  |  5 - 5  | 4.90e+06  | C+   |    |
       |                                 |              |  92251.8    -  166521.69  |  3 - 3  | 5.28e+06  | C+   |    |
       |                                 |              |  92237.2    -  166582.45  |  7 - 5  | 1.27e+06  | C+   |    |
       |                                 |              |  92250.3    -  166521.69  |  5 - 3  | 1.94e+06  | C+   |    |
       |                                 |              |  92250.3    -  166678.64  |  5 - 7  | 7.55e+05  | C+   |    |
       |                                 |              |  92251.8    -  166582.45  |  3 - 5  | 1.03e+06  | C+   |    |
       |                                 |              |                           |         |           |      |    |
    63 |         2s.2p3 - 2s.2p3         |   3D* - 1P*  |                           |         |           |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92250.3    -  166765.66  |  5 - 3  | 1.94e-02  | C    | M1 |
       |                                 |              |  92251.8    -  166765.66  |  3 - 3  | 6.46e-03  | C    | M1 |
       |                                 |              |                           |         |           |      |    |
    64 |         2s.2p3 - 2s2.2p.3p      |   3D* - 3S   |  92250.9    -  168892.21  | 15 - 3  | 9.06e+04  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92250.3    -  168892.21  |  5 - 3  | 6.74e+04  | B    |    |
       |                                 |              |  92251.8    -  168892.21  |  3 - 3  | 2.32e+04  | B    |    |
       |                                 |              |                           |         |           |      |    |
    65 |                                 |   3D* - 3P   |  92244.5    -  170636.38  | 15 - 9  | 6.09e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              |  92237.2    -  170666.23  |  7 - 5  | 5.10e+07  | B+   |    |
       |                                 |              |  92250.3    -  170607.89  |  5 - 3  | 4.54e+07  | B+   |    |
