-----------------------------------------------------------------------
Configuration          | Term      |   J |                   Level    |
2s2.2p5.(2P*<1/2>).9p  | 2[3/2]    |   2 |             173065.4       |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9p  | 2[1/2]    |   0 |             173097.468     |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).13s | 2[3/2]*   |   2 |             173126.12      |
                       |           |   1 |             173128.85      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).12d | 2[1/2]*   |   1 |             173163.72      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).12d | 2[7/2]*   |   3 |             173164.46      |
                       |           |   4 |             173164.48      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).12d | 2[3/2]*   |   2 |             173165.09      |
                       |           |   1 |             173166.08      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).12d | 2[5/2]*   |   2 |             173166.15      |
                       |           |   3 |             173166.45      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).14s | 2[3/2]*   |   1 |             173249.45      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).10s | 2[1/2]*   |   0 |             173255.24      |
                       |           |   1 |             173259.46      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).13d | 2[1/2]*   |   1 |             173277.59      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).13d | 2[7/2]*   |   4 |             173278.07      |
                       |           |   3 |             173278.15      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).13d | 2[3/2]*   |   1 |             173279.17      |
                       |           |   2 |             173280.14      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).15s | 2[3/2]*   |   1 |             173345.80      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9d  | 2[5/2]*   |   2 |             173349.46      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9d  | 2[3/2]*   |   2 |             173349.51      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9d  | 2[5/2]*   |   3 |             173349.52      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).9d  | 2[3/2]*   |   1 |             173350.78      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).14d | 2[1/2]*   |   1 |             173367.82      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).14d | 2[3/2]*   |   1 |             173368.88      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).16s | 2[3/2]*   |   1 |             173422.57      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).15d | 2[3/2]*   |   1 |             173440.74      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).15d | 2[1/2]*   |   1 |             173441.13      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).17s | 2[3/2]*   |   1 |             173485.09      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).16d | 2[3/2]*   |   1 |             173500.11      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).18s | 2[3/2]*   |   1 |             173536.36      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).11s | 2[1/2]*   |   1 |             173543.17      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).17d | 2[3/2]*   |   1 |             173549.40      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).19s | 2[3/2]*   |   1 |             173580.01      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).18d | 2[3/2]*   |   1 |             173590.50      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).10d | 2[3/2]*   |   2 |             173608.51      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).10d | 2[5/2]*   |   2 |             173608.51      |
                       |           |   3 |             173608.54      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).10d | 2[3/2]*   |   1 |             173609.59      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).20s | 2[3/2]*   |   1 |             173616.48      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).19d | 2[3/2]*   |   1 |             173625.28      |
                       |           |     |                            |
2s2.2p5.(2P*<3/2>).20d | 2[3/2]*   |   1 |             173655.01      |
                       |           |     |                            |
2s2.2p5.(2P*<1/2>).12s | 2[1/2]*   |   1 |             173751.47      |
