----------------------------------------------------------------------------------------------------------------------------------
 Mult. |           Configurations                 |     Terms    |       Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                          |              |     (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                          |              |                             |         |           |      |    |
----------------------------------------------------------------------------------------------------------------------------------
       |                                          |              |    158.265   -  126340.225  |  3 - 3  | 1.64e+08  | B    |    |
       |                                          |              |      0.000   -  126340.225  |  5 - 3  | 2.75e+08  | B    |    |
       |                                          |              |    158.265   -  126383.751  |  3 - 1  | 6.59e+08  | B    |    |
       |                                          |              |    158.265   -  126266.896  |  3 - 5  | 1.64e+08  | B    |    |
       |                                          |              |    226.977   -  126340.225  |  1 - 3  | 2.19e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
    25 |          2s2.2p4 - 2s2.2p3.(2D*<5/2>).4d |   3P  - 3D*  |     77.975   -  129696.2    |  9 - 15 | 1.76e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  129692.3    |  5 - 7  | 1.79e+07  | C+   |    |
       |                                          |              |    158.265   -  129697.5    |  3 - 5  | 1.31e+07  | C+   |    |
       |                                          |              |    226.977   -  129703.0    |  1 - 3  | 9.58e+06  | C    |    |
       |                                          |              |      0.000   -  129697.5    |  5 - 5  | 4.40e+06  | C    |    |
       |                                          |              |    158.265   -  129703.0    |  3 - 3  | 7.20e+06  | C    |    |
       |                                          |              |      0.000   -  129703.0    |  5 - 3  | 4.83e+05  | C    |    |
       |                                          |              |                             |         |           |      |    |
    26 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).4d |   3P  - 3S*  |     77.975   -  129736.6    |  9 - 3  | 4.63e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  129736.6    |  5 - 3  | 2.58e+07  | C    |    |
       |                                          |              |    158.265   -  129736.6    |  3 - 3  | 1.54e+07  | C    |    |
       |                                          |              |    226.977   -  129736.6    |  1 - 3  | 5.12e+06  | C    |    |
       |                                          |              |                             |         |           |      |    |
    27 |                                          |   3P  - 3P*  |     77.975   -  129974.745  |  9 - 9  | 2.12e+08  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  129970.000  |  5 - 5  | 1.59e+08  | C+   |    |
       |                                          |              |    158.265   -  129979.384  |  3 - 3  | 5.29e+07  | C+   |    |
       |                                          |              |      0.000   -  129979.384  |  5 - 3  | 8.84e+07  | C+   |    |
       |                                          |              |    158.265   -  129984.553  |  3 - 1  | 2.11e+08  | C+   |    |
       |                                          |              |    158.265   -  129970.000  |  3 - 5  | 5.29e+07  | C+   |    |
       |                                          |              |    226.977   -  129979.384  |  1 - 3  | 7.04e+07  | C+   |    |
       |                                          |              |                             |         |           |      |    |
    28 |          2s2.2p4 - 2s2.2p3.(2P*).3d      |   3P  - 3D*  |     77.975   -  137962.5    |  9 - 15 | 4.68e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  137962.5    |  5 - 7  | 4.60e+07  | C+   |    |
       |                                          |              |    158.265   -  137962.5    |  3 - 5  | 3.53e+07  | C+   |    |
       |                                          |              |    226.977   -  137962.5    |  1 - 3  | 2.66e+07  | C    |    |
       |                                          |              |      0.000   -  137962.5    |  5 - 5  | 1.19e+07  | C    |    |
       |                                          |              |    158.265   -  137962.5    |  3 - 3  | 2.01e+07  | C    |    |
       |                                          |              |      0.000   -  137962.5    |  5 - 3  | 1.35e+06  | D    |    |
       |                                          |              |                             |         |           |      |    |
    29 |          2s2.2p4 - 2s2.2p3.(2P*).4d      |   3P  - 3D*  |     77.975   -  143363.4    |  9 - 15 | 2.09e+07  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |      0.000   -  143363.4    |  5 - 7  | 2.05e+07  | C    |    |
       |                                          |              |    158.265   -  143363.4    |  3 - 5  | 1.58e+07  | C    |    |
       |                                          |              |    226.977   -  143363.4    |  1 - 3  | 1.19e+07  | C    |    |
       |                                          |              |      0.000   -  143363.4    |  5 - 5  | 5.30e+06  | D    |    |
       |                                          |              |    158.265   -  143363.4    |  3 - 3  | 8.97e+06  | C    |    |
       |                                          |              |      0.000   -  143363.4    |  5 - 3  | 6.02e+05  | D    |    |
       |                                          |              |                             |         |           |      |    |
    30 |          2s2.2p4 - 2s2.2p4               |   1D  - 1S   |  15867.862   -   33792.583  |  5 - 1  | 1.26e+00  | B+   | E2 |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    31 |          2s2.2p4 - 2s2.2p3.(4S*).3s      |   1D  - 5S*  |  15867.862   -   73768.2    |  5 - 5  | 5.32e-03  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |  15867.862   -   73768.200  |  5 - 5  | 5.32e-03  | D    |    |
       |                                          |              |                             |         |           |      |    |
    32 |                                          |   1D  - 3S*  |  15867.862   -   76794.978  |  5 - 3  | 1.83e+03  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |  15867.862   -   76794.978  |  5 - 3  | 1.83e+03  | C    |    |
       |                                          |              |                             |         |           |      |    |
    33 |          2s2.2p4 - 2s2.2p3.(2D*).3s      |   1D  - 3D*  |  15867.862   -  101143.45   |  5 - 15 | 1.38e+04  |      |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |  15867.862   -  101135.407  |  5 - 7  | 7.97e+03  | C    |    |
       |                                          |              |  15867.862   -  101147.526  |  5 - 5  | 3.66e+02  | C    |    |
       |                                          |              |  15867.862   -  101155.422  |  5 - 3  | 4.98e+04  | C    |    |
       |                                          |              |                             |         |           |      |    |
    34 |                                          |   1D  - 1D*  |  15867.862   -  102662.026  |  5 - 5  | 5.28e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    35 |          2s2.2p4 - 2s2.2p3.(2P*).3s      |   1D  - 1P*  |  15867.862   -  115918.143  |  5 - 3  | 5.06e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    36 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).4s |   1D  - 1D*  |  15867.862   -  122797.661  |  5 - 5  | 1.33e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    37 |          2s2.2p4 - 2s2.2p3.(2D*<5/2>).3d |   1D  - 1P*  |  15867.862   -  124274      |  5 - 3  | 2.04e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    38 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).3d |   1D  - 1D*  |  15867.862   -  124319.175  |  5 - 5  | 1.17e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    39 |                                          |   1D  - 1F*  |  15867.862   -  124326.779  |  5 - 7  | 1.23e+08  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    40 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).5s |   1D  - 1D*  |  15867.862   -  129132.323  |  5 - 5  | 5.22e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    41 |          2s2.2p4 - 2s2.2p3.(2D*<5/2>).4d |   1D  - 1P*  |  15867.862   -  129683      |  5 - 3  | 1.70e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    42 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).4d |   1D  - 1D*  |  15867.862   -  129731      |  5 - 5  | 6.68e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    43 |                                          |   1D  - 1F*  |  15867.862   -  129737.052  |  5 - 7  | 7.05e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    44 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).6s |   1D  - 1D*  |  15867.862   -  131936      |  5 - 5  | 2.58e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    45 |          2s2.2p4 - 2s2.2p3.(2D*<5/2>).5d |   1D  - 1P*  |  15867.862   -  132203      |  5 - 3  | 1.10e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    46 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).5d |   1D  - 1D*  |  15867.862   -  132235      |  5 - 5  | 3.82e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    47 |                                          |   1D  - 1F*  |  15867.862   -  132240      |  5 - 7  | 4.06e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    48 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).7s |   1D  - 1D*  |  15867.862   -  133421      |  5 - 5  | 1.46e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    49 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).6d |   1D  - 1D*  |  15867.862   -  133587      |  5 - 5  | 2.33e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    50 |                                          |   1D  - 1F*  |  15867.862   -  133591      |  5 - 7  | 2.49e+07  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
    51 |          2s2.2p4 - 2s2.2p3.(2D*<3/2>).8s |   1D  - 1D*  |  15867.862   -  134305      |  5 - 5  | 9.09e+06  | B    |    |
       |                                          |              |                             |         |           |      |    |
       |                                          |              |                             |         |           |      |    |
