------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. |                Configurations                  |        Terms       |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                                |                    |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                                |                    |                               |         |           |      |    |
------------------------------------------------------------------------------------------------------------------------------------------------
       |                                                |                    | 104102.0990   -  112138.924   |  3 - 5  | 4.9e+06   | D    |    |
       |                                                |                    | 107054.2720   -  114147.732   |  1 - 3  | 4.3e+06   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    38 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).5s  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  113643.260   |  3 - 3  | 2.44e+06  | C    |    |
       |                                                |                    | 104102.0990   -  113468.473   |  3 - 5  | 4.9e+06   | D    |    |
       |                                                |                    | 107054.2720   -  113643.260   |  1 - 3  | 1.3e+06   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    39 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).3d  |  2[1/2]  - 2[3/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 107054.2720   -  115366.866   |  1 - 3  | 4.2e+05   | D    |    |
       |                                                |                    |                               |         |           |      |    |
    40 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<1/2>).5s  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  114975.019   |  3 - 3  | 1.76e+06  | C    |    |
       |                                                |                    | 104102.0990   -  114861.635   |  3 - 1  | 3.26e+06  | C    |    |
       |                                                |                    | 107054.2720   -  114975.019   |  1 - 3  | 3.8e+05   | E    |    |
       |                                                |                    |                               |         |           |      |    |
    41 | 3s2.3p5.(2P*<3/2>).4p - 3s2.3p5.(2P*<3/2>).4d  |  2[1/2]  - 2[1/2]* |                               |         |           |      |    |
       |                                                |                    |                               |         |           |      |    |
       |                                                |                    | 104102.0990   -  118651.3950  |  3 - 3  | 2.78e+06  | C    |    |
       |                                                |                    | 104102.0990   -  118512.197   |  3 - 1  | 3.08e+06  | C    |    |
