# eta f fd fdd g gd y p T rho u
2.004008 0.916242 0.842548 0.241211 1.394362 -0.383149 0.001402 1013.000000 418.308627 0.008435 1171.141599
2.014028 0.924696 0.844952 0.238607 1.390525 -0.382734 0.001409 1013.000000 417.157480 0.008458 1174.483009
2.024048 0.933175 0.847330 0.236012 1.386692 -0.382244 0.001415 1013.000000 416.007694 0.008482 1177.788216
2.034068 0.941677 0.849682 0.233426 1.382865 -0.381679 0.001422 1013.000000 414.859495 0.008505 1181.057337
2.044088 0.950202 0.852008 0.230848 1.379044 -0.381042 0.001429 1013.000000 413.713103 0.008529 1184.290493
2.054108 0.958751 0.854308 0.228279 1.375229 -0.380332 0.001435 1013.000000 412.568735 0.008552 1187.487811
2.064128 0.967323 0.856582 0.225720 1.371422 -0.379553 0.001442 1013.000000 411.426605 0.008576 1190.649422
2.074148 0.975917 0.858831 0.223171 1.367623 -0.378706 0.001448 1013.000000 410.286920 0.008600 1193.775460
2.084168 0.984534 0.861055 0.220633 1.363833 -0.377791 0.001455 1013.000000 409.149884 0.008624 1196.866066
2.094188 0.993172 0.863253 0.218104 1.360052 -0.376811 0.001461 1013.000000 408.015695 0.008648 1199.921385
2.104208 1.001833 0.865426 0.215587 1.356282 -0.375767 0.001468 1013.000000 406.884549 0.008672 1202.941566
2.114228 1.010516 0.867573 0.213080 1.352522 -0.374661 0.001474 1013.000000 405.756635 0.008696 1205.926761
2.124248 1.019219 0.869696 0.210586 1.348774 -0.373493 0.001481 1013.000000 404.632139 0.008720 1208.877127
2.134269 1.027944 0.871793 0.208103 1.345037 -0.372266 0.001487 1013.000000 403.511243 0.008744 1211.792828
2.144289 1.036690 0.873866 0.205631 1.341314 -0.370981 0.001493 1013.000000 402.394123 0.008768 1214.674027
2.154309 1.045456 0.875914 0.203173 1.337603 -0.369639 0.001500 1013.000000 401.280952 0.008793 1217.520894
2.164329 1.054243 0.877938 0.200726 1.333906 -0.368242 0.001506 1013.000000 400.171898 0.008817 1220.333602
2.174349 1.063050 0.879937 0.198293 1.330224 -0.366791 0.001512 1013.000000 399.067125 0.008842 1223.112328
2.184369 1.071877 0.881912 0.195873 1.326556 -0.365288 0.001519 1013.000000 397.966791 0.008866 1225.857252
2.194389 1.080724 0.883862 0.193465 1.322904 -0.363734 0.001525 1013.000000 396.871053 0.008891 1228.568559
2.204409 1.089590 0.885789 0.191072 1.319267 -0.362131 0.001531 1013.000000 395.780061 0.008915 1231.246434
