-------------------------------------------------------------------------------------------------------------------------------------
 Mult. |             Configurations              |      Terms     |        Ei           Ek        | gi   gk |    Aki    | Acc. |Type|
  No.  |                                         |                |      (cm-1)       (cm-1)      |         |    s^-1   |      |    |
       |                                         |                |                               |         |           |      |    |
-------------------------------------------------------------------------------------------------------------------------------------
       |                                         |                |                               |         |           |      |    |
    56 |    3s2.3p4.(3P).3d - 3s2.3p4.(3P<2>).4f |    4D  - 2[4]* |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132481.2068   -  194822.1833  |  6 - 8  |           |      |    |
       |                                         |                | 132327.3616   -  194800.2662  |  8 - 10 |           |      |    |
       |                                         |                | 132327.3616   -  194822.1833  |  8 - 8  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    57 |                                         |    4D  - 2[3]* |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132630.7277   -  194861.3529  |  4 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  194861.3529  |  6 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  194883.0921  |  6 - 8  |           |      |    |
       |                                         |                | 132327.3616   -  194861.3529  |  8 - 6  |           |      |    |
       |                                         |                | 132327.3616   -  194883.0921  |  8 - 8  |           |      |    |
       |                                         |                |                               |         |           |      |    |
    58 |                                         |    4D  - 2[2]* |                               |         |           |      |    |
       |                                         |                |                               |         |           |      |    |
       |                                         |                | 132327.3616   -  195031.2028  |  8 - 6  |           |      |    |
       |                                         |                | 132737.7039   -  194996.5613  |  2 - 4  |           |      |    |
       |                                         |                | 132630.7277   -  194996.5613  |  4 - 4  |           |      |    |
       |                                         |                | 132630.7277   -  195031.2028  |  4 - 6  |           |      |    |
       |                                         |                | 132481.2068   -  194996.5613  |  6 - 4  |           |      |    |
