# x(m) s(m) tau_w(Pa) Cf Cf_blasius y_plus p(Pa) Cp q(W/m**2) Ch
0.083904 0.083904 -2.808881 -0.001201 0.004590 0.143534 205.487198 0.074243 5066.533829 0.000940
0.084620 0.084620 -2.776484 -0.001187 0.004571 0.143896 206.536737 0.074692 5093.047708 0.000945
0.085338 0.085338 -2.723868 -0.001165 0.004552 0.143694 207.504015 0.075106 5103.970624 0.000947
0.086057 0.086057 -2.662518 -0.001139 0.004532 0.143220 208.442396 0.075507 5108.465079 0.000948
0.086777 0.086777 -2.590115 -0.001108 0.004514 0.142397 209.343708 0.075892 5101.606636 0.000947
0.087499 0.087499 -2.502871 -0.001070 0.004495 0.141081 210.193997 0.076256 5097.504541 0.000946
0.088221 0.088221 -2.411462 -0.001031 0.004477 0.139551 210.968956 0.076588 5082.192970 0.000943
0.088944 0.088944 -2.302743 -0.000985 0.004458 0.137386 211.669482 0.076887 5076.926941 0.000942
0.089668 0.089668 -2.204646 -0.000943 0.004440 0.135398 212.254297 0.077137 5059.630776 0.000939
0.090393 0.090393 -2.081285 -0.000890 0.004422 0.132448 212.725463 0.077339 5066.671862 0.000940
0.091119 0.091119 -2.038295 -0.000872 0.004405 0.131860 212.912155 0.077419 5087.462976 0.000944
0.091845 0.091845 -2.031838 -0.000869 0.004387 0.132369 213.009111 0.077460 5167.414748 0.000959
0.092572 0.092572 -2.043439 -0.000874 0.004370 0.133459 213.083203 0.077492 5245.829682 0.000974
0.093300 0.093300 -2.112769 -0.000904 0.004353 0.136348 213.093370 0.077496 5405.628467 0.001003
0.094028 0.094028 -2.235747 -0.000956 0.004336 0.140894 213.044884 0.077475 5573.618893 0.001035
0.094757 0.094757 -2.423767 -0.001037 0.004319 0.147249 212.930756 0.077426 5848.852912 0.001086
0.095487 0.095487 -2.682731 -0.001147 0.004303 0.155528 212.857041 0.077395 6095.712431 0.001131
0.096217 0.096217 -2.977351 -0.001273 0.004287 0.164394 212.829158 0.077383 6466.326407 0.001200
0.096947 0.096947 -3.317372 -0.001419 0.004270 0.174247 212.918711 0.077421 6734.209826 0.001250
0.097678 0.097678 -3.715303 -0.001589 0.004254 0.185089 213.249256 0.077563 7174.715531 0.001332
0.098409 0.098409 -4.078027 -0.001744 0.004239 0.195047 213.974903 0.077873 7391.073267 0.001372
0.099140 0.099140 -4.501951 -0.001925 0.004223 0.206266 215.577278 0.078558 7851.656387 0.001457
0.099871 0.099871 -4.135033 -0.001768 0.004207 0.200466 219.283766 0.080143 7812.337323 0.001450
0.100603 0.100603 -3.960483 -0.001694 0.004192 0.197823 220.929690 0.080847 7931.992179 0.001472
0.101334 0.101334 -1.407405 -0.000602 0.004177 0.120941 227.793417 0.083783 7083.002282 0.001315
0.101996 0.102042 -1.187177 -0.000508 0.004162 0.107222 212.811128 0.077375 6281.695082 0.001166
0.102587 0.102725 -2.971813 -0.001271 0.004149 0.170424 215.505893 0.078528 6661.523934 0.001236
0.103179 0.103408 -3.119237 -0.001334 0.004135 0.173338 214.712022 0.078188 7707.114415 0.001431
0.103770 0.104091 -3.904787 -0.001670 0.004121 0.193229 213.868740 0.077828 8094.278615 0.001502
0.104362 0.104774 -4.788589 -0.002048 0.004108 0.212762 213.263568 0.077569 8954.709042 0.001662
0.104953 0.105457 -5.559758 -0.002378 0.004094 0.228585 213.135751 0.077514 9514.173284 0.001766
0.105545 0.106140 -6.389113 -0.002732 0.004081 0.244433 213.598339 0.077712 10251.971933 0.001903
0.106136 0.106823 -7.152961 -0.003059 0.004068 0.258601 214.693480 0.078180 10828.448678 0.002010
0.106728 0.107506 -7.862644 -0.003362 0.004055 0.271427 216.503298 0.078954 11485.238790 0.002132
0.107319 0.108189 -8.502492 -0.003636 0.004042 0.283131 219.006880 0.080025 12063.792941 0.002239
0.107911 0.108872 -9.079380 -0.003883 0.004030 0.293864 222.204002 0.081392 12685.985957 0.002355
0.108502 0.109555 -9.594241 -0.004103 0.004017 0.303874 226.057903 0.083040 13276.221710 0.002464
0.109094 0.110238 -10.051470 -0.004299 0.004005 0.313219 230.540911 0.084957 13895.165627 0.002579
0.109685 0.110921 -10.460901 -0.004474 0.003992 0.322140 235.614539 0.087127 14508.756503 0.002693
0.110277 0.111604 -10.828113 -0.004631 0.003980 0.330691 241.255644 0.089540 15148.720089 0.002812
0.110868 0.112287 -11.159786 -0.004772 0.003968 0.339001 247.438107 0.092184 15799.682444 0.002933
0.111460 0.112970 -11.463137 -0.004902 0.003956 0.347143 254.139905 0.095050 16478.114121 0.003059
0.112051 0.113653 -11.744381 -0.005022 0.003944 0.355218 261.362659 0.098138 17180.303505 0.003189
0.112643 0.114336 -12.004818 -0.005134 0.003932 0.363218 269.093078 0.101444 17913.809567 0.003325
0.113234 0.115019 -12.251289 -0.005239 0.003921 0.371243 277.340774 0.104971 18678.443628 0.003467
0.113826 0.115702 -12.484675 -0.005339 0.003909 0.379288 286.111641 0.108722 19481.483578 0.003616
0.114417 0.116385 -12.708061 -0.005435 0.003897 0.387401 295.425199 0.112705 20321.886997 0.003772
0.115009 0.117068 -12.922979 -0.005527 0.003886 0.395585 305.295161 0.116926 21208.801545 0.003937
0.115600 0.117751 -13.131073 -0.005616 0.003875 0.403875 315.756346 0.121400 22139.986513 0.004109
0.116192 0.118434 -13.330745 -0.005701 0.003864 0.412211 326.820274 0.126131 23130.143274 0.004293
0.116783 0.119117 -13.534289 -0.005788 0.003853 0.420823 338.536146 0.131142 24165.254485 0.004485
0.117375 0.119800 -13.731482 -0.005872 0.003842 0.429478 350.960244 0.136455 25292.872262 0.004695
0.117966 0.120483 -13.929486 -0.005957 0.003831 0.438404 364.115893 0.142081 26451.379756 0.004910
0.118558 0.121166 -14.119650 -0.006038 0.003820 0.447256 378.080362 0.148053 27756.753653 0.005152
0.119149 0.121849 -14.328071 -0.006127 0.003809 0.456802 392.906265 0.154393 29040.626613 0.005390
0.119741 0.122532 -14.527853 -0.006213 0.003798 0.465953 408.720846 0.161156 30646.960268 0.005688
0.120332 0.123215 -14.790814 -0.006325 0.003788 0.476990 425.560347 0.168358 32031.556500 0.005945
0.120924 0.123898 -15.026966 -0.006426 0.003777 0.486347 443.849243 0.176179 34304.749599 0.006367
0.121515 0.124581 -15.083743 -0.006451 0.003767 0.495621 463.268903 0.184484 35418.879184 0.006574
0.122107 0.125264 -15.207143 -0.006503 0.003757 0.504036 484.007297 0.193353 37661.678072 0.006990
0.122698 0.125947 -15.298313 -0.006542 0.003747 0.513329 506.145126 0.202820 39449.351450 0.007322
0.123290 0.126630 -15.382362 -0.006578 0.003736 0.521884 529.877946 0.212969 41762.509587 0.007752
0.123881 0.127313 -15.443569 -0.006604 0.003726 0.530593 555.321468 0.223850 44058.584671 0.008178
0.124473 0.127996 -15.468260 -0.006615 0.003716 0.538586 582.680864 0.235550 46651.415868 0.008659
0.125064 0.128679 -15.430092 -0.006599 0.003707 0.545737 612.115559 0.248138 49378.687773 0.009165
0.125656 0.129362 -15.315716 -0.006550 0.003697 0.551579 643.726635 0.261657 52318.577458 0.009711
