#x(m)	y(m)	z(m)	du(m/s)	dy(m)	rho(kg/m^3)	mu(N.s/m^2)	tau_w(N/m^2)	y_plus 
9.617566e-02	3.290899e-02	0.000000	644.667083	4.074169e-05	6.820416e-01	3.439475e-05	544.238	22.821625 
9.714117e-02	3.311403e-02	0.000000	643.274418	4.099553e-05	6.746443e-01	3.426754e-05	537.703	22.785701 
9.811345e-02	3.332032e-02	0.000000	640.967700	4.123840e-05	6.656163e-01	3.411063e-05	530.181	22.710992 
9.909973e-02	3.352808e-02	0.000000	635.110112	4.148248e-05	6.635101e-01	3.406953e-05	521.616	22.651531 
1.000986e-01	3.373683e-02	0.000000	634.174251	4.173444e-05	6.570892e-01	3.396199e-05	516.068	22.629093 
1.011031e-01	3.394598e-02	0.000000	632.596140	4.198678e-05	6.498520e-01	3.384184e-05	509.880	22.583945 
1.021131e-01	3.415552e-02	0.000000	630.912253	4.223950e-05	6.423806e-01	3.372532e-05	503.740	22.530044 
1.031287e-01	3.436544e-02	0.000000	629.167133	4.249257e-05	6.349631e-01	3.361188e-05	497.675	22.473326 
1.041498e-01	3.457571e-02	0.000000	627.432030	4.274597e-05	6.275540e-01	3.350163e-05	491.742	22.414214 
1.051765e-01	3.478631e-02	0.000000	625.721953	4.299968e-05	6.201465e-01	3.339439e-05	485.948	22.352891 
1.062087e-01	3.499724e-02	0.000000	624.020757	4.325368e-05	6.127666e-01	3.329034e-05	480.280	22.289458 
