-----------------------------------------------------------------------------------------------------------------------
 Mult. |         Configurations          |     Terms    |      Ei           Ek      | gi   gk |    Aki    | Acc. |Type|
  No.  |                                 |              |    (cm-1)       (cm-1)    |         |    s^-1   |      |    |
       |                                 |              |                           |         |           |      |    |
-----------------------------------------------------------------------------------------------------------------------
       |                                 |              | 110624.17   -  150466.69  |  2 - 4  | 4.71e+07  | A    |    |
       |                                 |              |                           |         |           |      |    |
    47 |         2s.2p2 - 2s2.4p         |   2P  - 2P*  | 110651.76   -  162522.34  |  6 - 6  | 1.16e+07  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              | 110665.56   -  162524.57  |  4 - 4  | 9.65e+06  | B    |    |
       |                                 |              | 110624.17   -  162517.89  |  2 - 2  | 7.74e+06  | B    |    |
       |                                 |              | 110665.56   -  162517.89  |  4 - 2  | 3.86e+06  | B    |    |
       |                                 |              | 110624.17   -  162524.57  |  2 - 4  | 1.93e+06  | B    |    |
       |                                 |              |                           |         |           |      |    |
    48 |         2s.2p2 - 2p3            |   2P  - 2P*  | 110651.76   -  168742.04  |  6 - 6  | 5.19e+08  |      |    |
       |                                 |              |                           |         |           |      |    |
       |                                 |              | 110665.56   -  168748.30  |  4 - 4  | 4.33e+08  | B    |    |
       |                                 |              | 110624.17   -  168729.53  |  2 - 2  | 3.46e+08  | B    |    |
       |                                 |              | 110665.56   -  168729.53  |  4 - 2  | 1.72e+08  | B    |    |
       |                                 |              | 110624.17   -  168748.30  |  2 - 4  | 8.65e+07  | B    |    |
