---------------------------------------------------------------------------------------------------------------------------------------
 Mult. |               Configurations                |       Terms      |     Ei           Ek       | gi   gk |    Aki    | Acc. |Type|
  No.  |                                             |                  |   (cm-1)       (cm-1)     |         |    s^-1   |      |    |
       |                                             |                  |                           |         |           |      |    |
---------------------------------------------------------------------------------------------------------------------------------------
       |                                             |                  |     0.00   -   88615.01   |  1 - 3  | 6.0e+05   | C    |    |
       |                                             |                  |    16.40   -   88615.01   |  3 - 3  | 4.79e+06  | C+   |    |
       |                                             |                  |    43.40   -   88615.01   |  5 - 3  | 1.82e+06  | C+   |    |
       |                                             |                  |                           |         |           |      |    |
    46 |              2s2.2p2 - 2s2.2p.7d            |     3P  - 1F*    |    43.4    -   88625      |  9 - 7  | 3.98e+06  |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |    43.40   -   88625.00   |  5 - 7  | 3.98e+06  | C    |    |
       |                                             |                  |                           |         |           |      |    |
    47 |                                             |     3P  - 3P*    |    29.58   -   88641.4    |  9 - 9  | 1.2e+07   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -  [88646.6]   |  1 - 3  | 2.37e+06  | C+   |    |
       |                                             |                  |    16.40   -  [88636.8]   |  3 - 5  | 7.3e+04   | D    |    |
       |                                             |                  |    16.40   -  [88649.1]   |  3 - 1  | 1.55e+07  | B    |    |
       |                                             |                  |    43.40   -  [88646.6]   |  5 - 3  | 5.80e+06  | C+   |    |
       |                                             |                  |    16.40   -  [88646.6]   |  3 - 3  | 4.96e+06  | C+   |    |
       |                                             |                  |    43.40   -  [88636.8]   |  5 - 5  | 1.02e+07  | B    |    |
       |                                             |                  |                           |         |           |      |    |
    48 |                                             |     3P  - 1P*    |    29.58   -   88639.02   |  9 - 3  | 2.8e+06   |      |    |
       |                                             |                  |                           |         |           |      |    |
       |                                             |                  |     0.00   -   88639.02   |  1 - 3  | 1.83e+06  | C+   |    |
